ID,sentence_id,word_id,word,field
1,1,1,de,de
2,1,2,sprei,sprei
3,1,3,die,die
4,1,4,jij,jij
5,1,5,bracht,bracht
6,1,6,heeft,heeft
7,1,7,Suzan,Suzan
8,1,8,altijd,altijd
9,1,9,al,al
10,1,10,gewild,gewild
11,1,11,omdat,omdat
12,1,12,die,die2
13,1,13,zo,zo
14,1,14,leuk,leuk
15,1,15,staat,staat
16,1,16,bij,bij
17,1,17,het,het
18,1,18,gele,gele
19,1,19,laken,laken
20,2,1,het,het
21,2,2,echtpaar,echtpaar
22,2,3,adopteert,adopteert
23,2,4,voor,voor
24,2,5,veel,veel
25,2,6,geld,geld
26,2,7,een,een
27,2,8,tweejarig,tweejarig
28,2,9,weesje,weesje
29,3,1,Jeannette,Jeannette
30,3,2,lacht,lacht
31,3,3,nadat,nadat
32,3,4,ze,ze
33,3,5,door,door
34,3,6,een,een
35,3,7,onbekende,onbekende
36,3,8,persoon,persoon
37,3,9,is,is
38,3,10,gekust,gekust
39,4,1,kort,kort
40,4,2,na,na
41,4,3,het,het
42,4,4,wielerfestijn,wielerfestijn
43,4,5,verbruikte,verbruikte
44,4,6,Dries,Dries
45,4,7,de,de
46,4,8,rest,rest
47,4,9,van,van
48,4,10,de,de2
49,4,11,deodorant,deodorant
50,5,1,na,na
51,5,2,de,de
52,5,3,tocht,tocht
53,5,4,in,in
54,5,5,de,de2
55,5,6,regen,regen
56,5,7,vaart,vaart
57,5,8,de,de3
58,5,9,kapitein,kapitein
59,5,10,blij,blij
60,5,11,weg,weg
61,6,1,na,na
62,6,2,zijn,zijn
63,6,3,reis,reis
64,6,4,maakt,maakt
65,6,5,hij,hij
66,6,6,een,een
67,6,7,kaart,kaart
68,6,8,van,van
69,6,9,de,de
70,6,10,onverharde,onverharde
71,6,11,wegen,wegen
72,6,12,en,en
73,6,13,die,die
74,6,14,zet,zet
75,6,15,hij,hij2
76,6,16,direct,direct
77,6,17,op,op
78,6,18,een,een2
79,6,19,DVD,DVD
80,7,1,natuurlijk,natuurlijk
81,7,2,ga,ga
82,7,3,je,je
83,7,4,van,van
84,7,5,hard,hard
85,7,6,werken,werken
86,7,7,heus,heus
87,7,8,niet,niet
88,7,9,dood,dood
89,7,10,maar,maar
90,7,11,in,in
91,7,12,andere,andere
92,7,13,opzichten,opzichten
93,7,14,is,is
94,7,15,de,de
95,7,16,prijs,prijs
96,7,17,soms,soms
97,7,18,hoger,hoger
98,7,19,dan,dan
99,7,20,je,je2
100,7,21,dacht,dacht
101,8,1,pistool,pistool
102,8,2,geraapt,geraapt
103,8,3,toveren,toveren
104,8,4,ijs,ijs
105,8,5,verkeerd,verkeerd
106,9,1,takt,takt
107,9,2,ik,ik
108,9,3,reken,reken
109,9,4,verwart,verwart
110,9,5,erudiet,erudiet
111,9,6,een,een
112,9,7,bij,bij
113,10,1,zacht,zacht
114,10,2,knort,knort
115,10,3,het,het
116,10,4,varken,varken
117,10,5,in,in
118,10,6,de,de
119,10,7,wei,wei
120,10,8,een,een
121,10,9,karakteristiek,karakteristiek
122,10,10,geluid,geluid
